"Tanggal","Penumpang.Berangkat"
2023-12-12,5660
2023-12-13,8060
2023-12-14,7359
2023-12-15,8187
2023-12-16,7762
2023-12-17,8262
2023-12-18,6998
2023-12-19,5734
2023-12-20,9320
2023-12-21,8716
2023-12-22,9375
2023-12-23,9599
2023-12-24,7570
2023-12-25,6668
2023-12-26,6838
2023-12-27,6459
2023-12-28,6077
2023-12-29,6135
2023-12-30,5928
2023-12-31,4530
2024-01-01,4960
2024-01-02,6053
2024-01-03,5984
2024-01-04,5564
2024-01-05,5748
2024-01-06,4131
2024-01-07,6108
2024-01-08,4564
2024-01-09,3909
2024-01-10,6243
2024-01-11,5746
2024-01-12,6227
2024-01-13,5137
2024-01-14,5501
2024-01-15,5917
2024-01-16,5255.5
2024-01-17,4594
2024-01-18,6036
2024-01-19,6853
2024-01-20,5675
2024-01-21,5230
2024-01-22,5676
2024-01-23,5390
2024-01-24,6608
2024-01-26,5882
2024-01-27,5184
2024-01-28,6497
2024-01-29,5602
2024-01-30,4813
2024-01-31,6585
2024-02-01,5489
2024-02-02,6299
2024-02-03,3902
2024-02-04,6883
2024-02-05,6504
2024-02-06,5395
2024-02-07,4286
2024-02-08,7941
2024-02-09,5847
2024-02-10,3753
2024-02-11,4919
2024-02-12,5270
2024-02-13,4773.5
2024-02-14,4277
2024-02-15,5582
2024-02-16,6134
2024-02-17,2844
2024-02-18,6977
2024-02-19,6548
2024-02-20,6068
2024-02-21,6441
2024-02-22,6951
2024-02-23,7408
2024-02-24,6441
2024-02-25,7254
2024-02-26,6946
2024-02-27,6159
2024-02-28,7507
2024-02-29,7637
2024-03-01,4238
2024-03-06,8068
2024-03-07,7617
2024-03-08,8268
2024-03-09,7138
2024-03-10,5921
2024-03-11,4586
2024-03-12,5092
2024-03-13,4332
2024-03-14,4361
2024-03-15,4864
2024-03-16,5298
2024-03-17,4433
2024-03-18,4141
2024-03-19,4817
2024-03-20,6470
2024-03-21,4608
2024-03-24,5031
2024-03-25,5251
2024-03-26,4920
2024-03-27,6587
2024-03-28,6887
2024-03-29,6708
2024-03-30,6732
2024-03-31,7420
2024-04-01,8625
2024-04-02,10456
2024-04-03,11935
2024-04-04,12658
2024-04-05,13869
2024-04-06,13608
2024-04-07,13542
2024-04-08,13823
2024-04-09,12143
2024-04-10,7464
2024-04-11,5652
